CO2_1;CO2_2;CO2_medium;Temp_1;Temp_2;Temp_medium;Accuracy_1;Accuracy_2;Min_CO2_1;Min_CO2_2; time
1463.000;1322.000;1392.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;128.000;
1451.000;1314.000;1382.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;129.000;
1440.000;1305.000;1372.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;130.000;
1428.000;1296.000;1362.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;131.000;
1415.000;1288.000;1351.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;132.000;
1404.000;1280.000;1342.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;133.000;
1392.000;1271.000;1331.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;134.000;
1380.000;1263.000;1321.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;135.000;
1368.000;1253.000;1310.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;136.000;
1356.000;1246.000;1301.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;137.000;
1344.000;1237.000;1290.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;138.000;
1331.000;1228.000;1279.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;139.000;
1319.000;1219.000;1269.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;140.000;
1307.000;1210.000;1258.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;141.000;
1295.000;1200.000;1247.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;142.000;
1283.000;1191.000;1237.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;143.000;
1270.000;1182.000;1226.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;144.000;
1258.000;1172.000;1215.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;145.000;
1245.000;1162.000;1203.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;146.000;
1232.000;1156.000;1194.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;147.000;
